Abenteuerreise; Reise
Arbeitsleistung; Leistung
Archivmaterial; Material
Asphaltstück; Stück
Atemschutz; Schutz
Aufgabenbereich; Bereich
Aufklärungstafel; Tafel
Aufsichtsorgan; Organ
Ausbildungsort; Ort
Auspuffrohr; Rohr
Automatenraum; Raum
Auswanderungsland; Land
Abendstunde; Stunde
Abenteuerlust; Lust
Abfahrtsort; Ort
Abgrenzungsrecht; Recht
Ablaufdiagramm; Diagramm
Abnahmeprotokoll; Protokoll
Abonnementpreis; Preis
Absatzmarkt; Markt
Abstammungsnachweis; Nachweis
Abstimmungsergebnis; Ergebnis
Abwehrkampf; Kampf
Achselzucken; Zucken
Adressaufkleber; Aufkleber
Adressbestand; Bestand
Agenturvertrag; Vertrag
Agrarfläche; Fläche
Aktenlager; Lager
Aktivposten; Posten
Akustikraum; Raum
Alarmstufe; Stufe
Albumcover; Cover
Alarmzustand; Zustand
Alkoholtest; Test
Alleinstellungsmerkmal; Merkmal
Alltagsheld; Held
Altmetall; Metall
Altersbegrenzung; Grenze
Altersschwäche; Schwäche
Aluminiumdose; Dose
Amtsblatt; Blatt
Amtssitz; Sitz
Analyseergebnis; Ergebnis
Anfahrtsskizze; Skizze
Angelrute; Rute
Angstschweiß; Schweiß
Anhaltspunkt; Punkt
Ankerplatz; Platz
Anlaufstelle; Stelle
Anmeldeprozess; Prozess
Annoncenseite; Seite
Anpassungsfähigkeit; Fähigkeit
Anschaffungskosten; Kosten
Anschlussflug; Flug
Anspielungsebene; Ebene
Antarktisforschung; Forschung
Antragsformular; Formular
Antwortbogen; Bogen
Anwendungsfall; Fall
Archivkarton; Karton
Archivstück; Stück
Argliste; Liste
Arkadenbogen; Bogen
Armaturenbrett; Brett
Artenreichtum; Reichtum
Aspektwechsel; Wechsel
Assessmenttest; Test
Assoziationskette; Kette
Atlantikküste; Küste
Atomprozess; Prozess
Aufarbeitungszeit; Zeit
Aufgabenstellung; Stellung
Aufklärungsaktion; Aktion
Auflagenhöhe; Höhe
Aufnahmekapazität; Kapazität
Aufnahmeprüfung; Prüfung
Aufpassdienst; Dienst
Aufstellungsort; Ort
Auftragswert; Wert
Aufwärmphase; Phase
Augenblick; Blick
Augenoperation; Operation
Ausbildungsgrad; Grad
Ausbildungsland; Land
Ausdauertraining; Training
Ausgangsposition; Position
Auskunftserteilung; Erteilung
Auslegungsart; Art
Aussprachefehler; Fehler
Austauschprogramm; Programm
Austragungsort; Ort
Autobetrieb; Betrieb
Autodiebstahl; Diebstahl
Autofahrschule; Schule
Autokarosserie; Karosserie
Automatisierungsgrad; Grad
Autonomiebewegung; Bewegung

Bademantel; Mantel
Bahngleis; Gleis
Ballsaal; Saal
Bankkonto; Konto
Bärentatze; Tatze
Bauernhof; Hof
Baumhaus; Haus
Baumrinde; Rinde
Baumstamm; Stamm
Bausparkasse; Kasse
Baumwolle; Wolle
Beerengarten; Garten
Bergsee; See
Bierglas; Glas
Bienenstock; Stock
Blattrand; Rand
Blitzableiter; Ableiter
Blumenbeet; Beet
Blumenerde; Erde
Blumenstrauß; Strauß
Blutspur; Spur
Bootssteg; Steg
Briefkasten; Kasten
Brunnenstein; Stein
Buchcover; Cover
Buchdruck; Druck
Buchseite; Seite
Burghof; Hof
Butterteig; Teig
Ballettschuh; Schuh
Blechdose; Dose
Blumenkelch; Kelch
Bodenfrost; Frost
Brückenpfeiler; Pfeiler
Briefmarke; Marke
Bahnfahrt; Fahrt
Bergkamm; Kamm
Bienenwabe; Wabe
Bordrand; Rand
Brandmauer; Mauer
Briefumschlag; Umschlag
Briefwechsel; Wechsel
Buswartehäuschen; Häuschen
Butterberg; Berg
Bäckerofen; Ofen
Baggerschaufel; Schaufel
Bahnschiene; Schiene
Baumkrone; Krone
Bergbach; Bach
Blechschild; Schild
Blumenwiese; Wiese
Bootsruder; Ruder
Burgfried; Fried
Buttersorte; Sorte
Badezimmer; Zimmer
Bahnhof; Hof
Baumgrenze; Grenze
Bergwald; Wald
Bootsfahrt; Fahrt
Blechnapf; Napf
Buchrücken; Rücken
Blumenstrunk; Strunk
Burgturm; Turm
Blechschachtel; Schachtel
Bergkette; Kette
Bienenschwarm; Schwarm
Baumstumpf; Stumpf
Bodenwelle; Welle
Brunnenloch; Loch
Blumenkohlkopf; Kopf
Baggerkran; Kran
Balkongeländer; Geländer
Buchregal; Regal
Bahnfahrkarte; Karte
Bienenwachs; Wachs
Bodenfläche; Fläche
Brückenbogen; Bogen
Brunnenwasser; Wasser
Bergpass; Pass
Buchdeckel; Deckel
Baumwipfel; Wipfel
Bergwiese; Wiese
Burgfrieden; Frieden
Bahnreise; Reise
Backstube; Stube
Ballnacht; Nacht
Bankkaufmann; Kaufmann
Bauerntanz; Tanz
Bergbahn; Bahn
Bienenzucht; Zucht
Blumenfeld; Feld
Bootsfahrer; Fahrer
Brandwunde; Wunde
Briefmarkt; Markt
Buffettisch; Tisch
Buswerbung; Werbung
Badezeit; Zeit
Bahnsteig; Steig
Bambusmatte; Matte
Barfuß; Fuß
Bauchmuskel; Muskel
Beerenpflücker; Pflücker
Bergarbeit; Arbeit
Bilderrahmen; Rahmen
Blumenstreifen; Streifen
Bootskörper; Körper
Brandstelle; Stelle
Brunnentrog; Trog
Buchformat; Format
Bühnenbild; Bild
Bundeskanzler; Kanzler
Bürgersteig; Steig
Bahnhalle; Halle
Baumaterial; Material
Belegschaft; Schaft
Bergführer; Führer
Besatzung; Satzung
Betriebsrat; Rat
Bibelstelle; Stelle
Bildstock; Stock
Blickwinkel; Winkel
Bodenschatz; Schatz
Bordkante; Kante
Braunkohle; Kohle
Briefkasten; Kasten
Bundestag; Tag
Buswechsel; Wechsel
Bauteil; Teil
Bebauung; Bauung
Bergbewohner; Bewohner
Blattwerk; Werk
Bogenlampe; Lampe
Brandschutz; Schutz
Brustbein; Bein
Buchstütze; Stütze
Bundesheer; Heer
Bürgerrecht; Recht
Bahnunglück; Unglück
Bauernregel; Regel
Bergbewohner; Bewohner
Bibelvers; Vers
Blutvergießen; Vergießen
Bogenform; Form
Bordwand; Wand
Brandspur; Spur
Bundeskasse; Kasse
Bühnenlicht; Licht

Computerraum; Raum
Campingplatz; Platz
Countrysong; Song
Chipkarte; Karte
Cargoschiff; Schiff
Chorauftritt; Auftritt
Chemiefabrik; Fabrik
Callcenter; Center
Caravanpark; Park
Cateringservice; Service
Chemielabor; Labor
Cityhotel; Hotel
Carrerarennen; Rennen
Cafégarten; Garten
Chartsmusik; Musik
Chirurgiezimmer; Zimmer
Chefetage; Etage
Clowntheater; Theater
Chorkonzert; Konzert
Cabriodach; Dach
Cargohafen; Hafen
Cellosaite; Saite
Chipfabrik; Fabrik
Castingshow; Show
Chemieprozess; Prozess
Cityguide; Guide
Canyonlandschaft; Landschaft
Cheerleaderteam; Team
Chemiekatalog; Katalog
Cargoflugzeug; Flugzeug
Casinoabend; Abend
Cyclingclub; Club
Chefbüro; Büro
Chorsänger; Sänger
Charterflug; Flug
Chipkartensystem; System
Chorprobe; Probe
Chefsessel; Sessel

Dampfmaschine; Maschine
Dachrinne; Rinne
Dampfschiff; Schiff
Dachboden; Boden
Damenkleider; Kleider
Datenbank; Bank
Deichselwagen; Wagen
Deltaflugzeug; Flugzeug
Dachsparren; Sparren
Dachterrasse; Terrasse
Damenrock; Rock
Dampfkochtopf; Topf
Dachbalken; Balken
Dachfenster; Fenster
Damenmantel; Mantel
Deltaland; Land
Damenhandtasche; Tasche
Denkstein; Stein
Deltabucht; Bucht
Damenbrille; Brille
Deltazone; Zone
Deltaarm; Arm
Deltafluss; Fluss
Deichschutz; Schutz
Deltawinkel; Winkel
Dachtraufe; Traufe
Denkschrift; Schrift
Dachkonstruktion; Konstruktion
Deichverteidigung; Verteidigung
Deltamündung; Mündung
Damenschirm; Schirm
Deltalandschaft; Landschaft
Drachenflug; Flug
Drahtseil; Seil
Donnergrollen; Grollen
Dorftunnel; Tunnel
Duftkerze; Kerze
Duschvorhang; Vorhang
Dokumentenmappe; Mappe
Dreieckplatz; Platz
Daumenring; Ring
Delphinstimme; Stimme
Diplomprüfung; Prüfung
Dosenöffner; Öffner
Drahtschere; Schere
Durchbruch; Bruch
Deckenlampe; Lampe
Diamantschmuck; Schmuck
Druckventil; Ventil
Damenmode; Mode
Drehscheibe; Scheibe
Drehmoment; Moment
Doppelkinn; Kinn
Diamantring; Ring
Druckwand; Wand
Druckrohr; Rohr
Druckzylinder; Zylinder
Druckfeder; Feder
Dachgiebel; Giebel
Dachrinne; Rinne
Dachkante; Kante
Damengürtel; Gürtel
Deltastrahl; Strahl
Druckschrift; Schrift
Doppelbett; Bett
Dachziegel; Ziegel
Damenhut; Hut
Datenträger; Träger
Druckluft; Luft
Druckkraft; Kraft
Doppelkarte; Karte
Druckpunkt; Punkt

Eichelhäher; Häher
Eierschale; Schale
Elbtal; Tal
Eisenbahn; Bahn
Eisenhütte; Hütte
Eiskristall; Kristall
Eisvogel; Vogel
Elefantenhaut; Haut
Elternhaus; Haus
Emailtasse; Tasse
Endbahnhof; Bahnhof
Entenei; Ei
Entenküken; Küken
Erbsensuppe; Suppe
Erdbeerkuchen; Kuchen
Erdgasleitung; Leitung
Erdgeschoss; Geschoss
Erdkern; Kern
Erntehelfer; Helfer
Erntekranz; Kranz
Erstausgabe; Ausgabe
Europakarte; Karte
Europameister; Meister
Explosionskraft; Kraft
Einzelhandel; Handel
Eichhörnchenschwanz; Schwanz
Eisdiele; Diele
Elementarschule; Schule
Elektroauto; Auto
Energieversorgung; Versorgung
Entscheidungsprozess; Prozess
Entwicklungsland; Land
Epoxidharz; Harz
Erdölleitung; Öl
Erfahrungsschatz; Schatz
Erholungsurlaub; Urlaub
Erlebnisreise; Reise
Erntedankfest; Fest
Erwachsenenbildung; Bildung
Esstisch; Tisch
Eukalyptusbaum; Baum
Europaparlament; Parlament
Exportbilanz; Bilanz
Eisläufer; Läufer
Eichenwald; Wald
Etappenziel; Ziel
Eigenkapital; Kapital
Eierlikör; Likör
Eifelturm; Turm
Elektroherd; Herd
Eisenbahnbrücke; Brücke
Elektrofahrrad; Fahrrad
Erinnerungsfoto; Foto
Ernährungsplan; Plan
Erlebnispark; Park
Einwohnermeldeamt; Amt
Endprodukt; Produkt
Einkaufszentrum; Zentrum
Eisenwarenladen; Laden
Erlebnisbericht; Bericht
Eishockeyschläger; Schläger
Expresszug; Zug
Erholungsgebiet; Gebiet
Einheitspreis; Preis
Energiekosten; Kosten
Erinnerungsstück; Stück
Einfamilienhaus; Haus
Eiswürfel; Würfel
Einkaufszettel; Zettel
Einzelzimmer; Zimmer
Eintrittskarte; Karte
Elternabend; Abend
Emotionsbegriff; Begriff
Engelsstatue; Statue
Entdeckungsreise; Reise
Erdbeersorbet; Sorbet
Erfahrungsbericht; Bericht
Erinnerungsalbum; Album
Ernährungstagebuch; Tagebuch
Erregungszustand; Zustand
Erwartungshaltung; Haltung
Eurotunnel; Tunnel
Eichhörnchenfell; Fell
Eisenbahnschiene; Schiene
Eingangstür; Tür
Einkommenssteuer; Steuer
Einzelhandelsunternehmen; Unternehmen
Eisbecher; Becher
Eismacher; Macher
Elektromotor; Motor
Erinnerungsmünze; Münze
Ernährungsberater; Berater
Erlebnisgeschenk; Geschenk
Einweghandschuh; Handschuh
Erdgasförderung; Förderung
Einrichtungsgegenstand; Gegenstand
Erinnerungsfach; Fach
Erlebnisreportage; Reportage
Eisskulptur; Skulptur
Eiswaffelhörnchen; Hörnchen

Fahrrad; Rad
Fahrplan; Plan
Fahrkarte; Karte
Fahrschein; Schein
Fallbeil; Beil
Fahrzeug; Zeug
Farbstift; Stift
Farbton; Ton
Federball; Ball
Feigenkuchen; Kuchen
Feinschmecker; Fein
Feldsalat; Salat
Felsblock; Block
Fensterbank; Bank
Fensterbrett; Brett
Feuerball; Ball
Feuerwehr; Feuer
Feuerzange; Zange
Filmrolle; Rolle
Fingerhut; Hut
Fischsuppe; Suppe
Flaschenzug; Zug
Fledermaus; Maus
Fleischbällchen; Bällchen
Fleischbrühe; Brühe
Fliegenfänger; Fänger
Flohmarkt; Markt
Flughafen; Hafen
Flugplatz; Platz
Flusskrebs; Krebs
Flussufer; Ufer
Folterinstrument; Instrument
Fotoalbum; Album
Fotokamera; Kamera
Fotorahmen; Rahmen
Frachtschiff; Schiff
Freikarten; Karten
Frischwasser; Wasser
Fruchtbaum; Baum
Frühstückstisch; Tisch
Fuchsgesicht; Gesicht
Falkenhorst; Horst
Fausthandschuh; Handschuh
Fahrgestell; Gestell
Farbcode; Code
Farbpalette; Palette
Fastnachtsumzug; Umzug
Faultiergehege; Gehege
Fechthandschuh; Handschuh
Feinwäsche; Wäsche
Feldgeschütz; Geschütz
Felsenhöhle; Höhle
Fernbedienung; Bedienung
Fertighaus; Haus
Festessen; Essen
Feuchtigkeitscreme; Creme
Feuerwehrmann; Mann
Feuerwehrauto; Auto
Feuerzauber; Zauber
Filmfestival; Festival
Fingernagel; Nagel
Fischernetz; Netz
Fischmarkt; Markt
Flächenmaß; Maß
Flammenwerfer; Werfer
Fledermausflügel; Flügel
Fleischklopfer; Klopfer
Fleischtheke; Theke
Flohzirkus; Zirkus
Flugmotor; Motor
Flusspferd; Pferd
Folterknecht; Knecht
Fotoapparat; Apparat
Fotoausstellung; Ausstellung
Frachtbrief; Brief
Frauenchor; Chor
Frauenquote; Quote
Freiheitskampf; Kampf
Freizeitpark; Park
Frostschutz; Schutz
Fruchtmark; Frucht
Führerschein; Schein
Fuhrpark; Park

Gartenzaun; Zaun
Gebärdensprache; Sprache
Gebirgskette; Kette
Geburtsland; Land
Gedenkstätte; Stätte
Gefängnishaft; Haft
Geflügelzucht; Zucht
Geheimdienst; Dienst
Geistesblitz; Blitz
Geldautomat; Automat
Generationenvertrag; Vertrag
Genossenschaft; Schaft
Gepäckband; Band
Gerätehaus; Haus
Gesangbuch; Buch
Geschäftspartner; Partner
Geschwisterreihe; Reihe
Gesundheitsvorsorge; Vorsorge
Gewächshaus; Haus
Gewaltenteilung; Teilung
Gewebemuster; Muster
Giftzahn; Zahn
Gipfelkreuz; Kreuz
Glasfaser; Faser
Glaubensfrage; Frage
Goldmedaille; Medaille
Grafenstand; Stand
Grafikdesign; Design
Granatapfel; Apfel
Grenzgebiet; Gebiet
Grundstück; Stück
Gruppenarbeit; Arbeit
Gummibaum; Baum
Gartenzwerg; Zwerg
Geburtshelfer; Helfer
Gedankenaustausch; Austausch
Gefahrenzulage; Zulage
Geheimcode; Code
Geldgeschäft; Geschäft
Gemeinderatssitzung; Sitzung
Generatorraum; Raum
Geräuschpegel; Pegel
Geschäftsreise; Reise
Gesichtspunkt; Punkt
Gewerkschaft; Schaft
Gießkanne; Kanne
Glücksbringer; Bringer
Goldbarren; Barren
Gondelbahn; Bahn
Grenzwert; Wert
Großereignis; Ereignis
Grundstein; Stein
Gruppenführung; Führung
Gummischlauch; Schlauch

Haarbürste; Bürste
Haargel; Gel
Halskette; Kette
Handschuh; Schuh
Handtasche; Tasche
Hausdach; Dach
Hausboot; Boot
Hauseingang; Eingang
Hausflur; Flur
Hausschlüssel; Schlüssel
Hausschuh; Schuh
Haustier; Tier
Heizkessel; Kessel
Herbstblatt; Blatt
Herkunftsland; Land
Himmelsrichtung; Richtung
Holzbrücke; Brücke
Holzfäller; Fäller
Holzhaus; Haus
Holzkeule; Keule
Holzschild; Schild
Holzschnitzerei; Schnitzerei
Holzstamm; Stamm
Holzstapel; Stapel
Honigbiene; Biene
Honigwabe; Wabe
Hopfenanbau; Anbau
Hundefutter; Futter
Hundehütte; Hütte
Hundeknochen; Knochen
Hundemarke; Marke
Hundepension; Pension
Hundewelpe; Welpe
Hygieneartikel; Artikel
Hygienestandard; Standard
Haarband; Band
Haarfarbe; Farbe
Haftcreme; Creme
Hagelsturm; Sturm
Halbmond; Mond
Halbzeit; Zeit
Hamburgerbrot; Brot
Hammerkopf; Kopf
Hamsterrad; Rad
Handarbeit; Arbeit
Handcreme; Creme
Hängebrücke; Brücke
Hängematte; Matte
Haustür; Tür
Heckscheibe; Scheibe
Heidelbeere; Beere
Heißluftballon; Ballon
Herbstfarbe; Farbe
Herrenhut; Hut
Herzschlag; Schlag
Heuballen; Ballen
Hexenkessel; Kessel
Highlightmarker; Marker
Hinterbein; Bein
Hochleistungssportler; Sportler
Hochseilgarten; Garten
Hochsommertag; Tag
Holzdecke; Decke
Holzfigur; Figur
Holzkiste; Kiste
Holzklasse; Klasse
Holzkohlengrill; Grill
Holzkugel; Kugel
Holzlöffel; Löffel
Holzpuzzle; Puzzle
Holzskulptur; Skulptur
Holzspielzeug; Spielzeug
Holztreppe; Treppe
Honigbrot; Brot
Hornbrille; Brille
Hufeisen; Eisen
Hunderasse; Rasse
Hundeschlitten; Schlitten
Hundespielzeug; Spielzeug
Hustensirup; Sirup

Industriepark; Park
Immobilienkauf; Kauf
Informationsfluss; Fluss
Infektionsschutz; Schutz
Internetseite; Seite
Inlandreise; Reise
Industriegebäude; Gebäude
Innovationspreis; Preis
Infrastrukturplan; Plan
Ideenreichtum; Reichtum
Interessenkonflikt; Konflikt
Investmentfonds; Fonds
Industriestandort; Standort
Informationsquelle; Quelle
Internetzugang; Zugang
Identitätskarte; Karte
Industrieroboter; Roboter
Impfstoffproduktion; Produktion
Informationssystem; System
Industriedesign; Design
Inselgruppe; Gruppe
Industrieanlage; Anlage
Innovationskraft; Kraft
Infrarotlicht; Licht
Integrationsprojekt; Projekt
Internetportal; Portal
Immobilienwert; Wert
Ideenwettbewerb; Wettbewerb
Installationsservice; Service
Informationstechnik; Technik
Inlandsprodukt; Produkt
Industriekultur; Kultur
Impulsreaktion; Reaktion
Interessenvertretung; Vertretung
Informationsaustausch; Austausch
Infrastrukturkosten; Kosten
Industrieforschung; Forschung
Identitätswechsel; Wechsel
Innovationsgeist; Geist
Installationsteam; Team
Innenarchitektur; Architektur
Informationsflut; Flut
Industriegelände; Gelände
Ideensammlung; Sammlung
Impftermin; Termin
Informationsbroschüre; Broschüre
Innenbeleuchtung; Beleuchtung
Industriemesse; Messe
Ideologiekritik; Kritik
Immobilienrecht; Recht
Industrierolle; Rolle
Informationsportal; Portal
Inselstaat; Staat
Installationssystem; System
Innovationskultur; Kultur
Immobilienpreis; Preis
Informationsagentur; Agentur
Industriehalle; Halle
Ideenpool; Pool
Inselwelt; Welt

Jagdhund; Hund
Jahrgang; Gang
Jagdrevier; Revier
Jägermeister; Meister
Jahreszeit; Zeit
Jachtclub; Club
Jagdfieber; Fieber
Jahrmarkt; Markt
Jagdschloss; Schloss
Jahresbericht; Bericht
Jakobsmuschel; Muschel
Jagdtasche; Tasche
Jägerzaun; Zaun
Jahreszahl; Zahl
Jagdpfeife; Pfeife
Jahreskarte; Karte
Jubiläumsfest; Fest
Jagdgewehr; Gewehr
Juwelenschatulle; Schatulle
Jägerkolonne; Kolonne
Jungbrunnen; Brunnen
Jupitermond; Mond
Jahresmotto; Motto
Jungfrauenkloster; Kloster
Jagdterrain; Terrain
Jahresplanung; Planung
Juwelenkrone; Krone
Jachthafen; Hafen
Jagdspieß; Spieß
Jägersprache; Sprache
Jahreszins; Zins
Jugendzimmer; Zimmer
Junggesellenabschied; Abschied
Jagdtrophäe; Trophäe
Juwelenschmuck; Schmuck
Jägerpatent; Patent
Jagdflinte; Flinte
Jahresrückblick; Rückblick
Junggesellenwohnung; Wohnung
Jagdbeute; Beute
Juweliergeschäft; Geschäft
Jahresmitgliedschaft; Mitgliedschaft
Jagdverein; Verein
Jahreszeitung; Zeitung
Juwelenetui; Etui
Jagdmeister; Meister
Jagdrudel; Rudel
Jahresmesse; Messe
Jagdgrund; Grund
Juwelenschatz; Schatz
Jagdpass; Pass
Jungmannschaft; Mannschaft
Jahresrente; Rente
Jagdclub; Club
Jungfernfahrt; Fahrt
Jagdgebiet; Gebiet
Jubelruf; Ruf
Jahresausflug; Ausflug
Jagdanzug; Anzug
Jahreswende; Wende
Jagdkultur; Kultur
Jahresbilanz; Bilanz
Juwelenkästchen; Kästchen
Jahreskonferenz; Konferenz
Jagdstiefel; Stiefel
Jagdlager; Lager
Jagdstrecke; Strecke
Jahresbeitrag; Beitrag
Jagdausflug; Ausflug

Kaffeehaus; Haus
Kaffeekanne; Kanne
Kabelbaum; Baum
Kaffeepause; Pause
Kartenspiel; Spiel
Kartoffelsuppe; Suppe
Katzenkratzer; Kratzer
Kellerfenster; Fenster
Kerngehäuse; Gehäuse
Kindertraum; Traum
Kirchturm; Turm
Klettersteig; Steig
Klostergang; Gang
Kochtopf; Topf
Kohlebergwerk; Bergwerk
Kohlenkeller; Keller
Königsthron; Thron
Korkenzieher; Zieher
Kraftwerk; Werk
Krankenhaus; Haus
Kreuzfahrt; Fahrt
Kreuzgang; Gang
Küchentisch; Tisch
Kugellager; Lager
Kulturhaus; Haus
Kunststoff; Stoff
Kupferkessel; Kessel
Kürbissuppe; Suppe
Kurbelwelle; Welle
Kuschelecke; Ecke
Kanalboot; Boot
Kaminfeuer; Feuer
Karaokebar; Bar
Kartendeckel; Deckel
Kastanienbaum; Baum
Kellergang; Gang
Kerzenlicht; Licht
Kinosaal; Saal
Klangraum; Raum
Kletterwand; Wand
Kneipentisch; Tisch
Konzerthaus; Haus
Koordinatenkreuz; Kreuz
Korallenmeer; Meer
Krankensaal; Saal
Kreidestein; Stein
Kristallglas; Glas
Krokodilhaut; Haut
Kugelfisch; Fisch
Kaffeefilter; Filter
Kaffeemühle; Mühle
Kaffeesorte; Sorte
Kalenderblatt; Blatt
Kameralinse; Linse
Kampfkunst; Kunst
Kaninchenohren; Ohren
Kapellenraum; Raum
Karabinerhaken; Haken
Karnevalsumzug; Umzug
Kassenzettel; Zettel
Katzenbaby; Baby
Katzenklappe; Klappe
Katzenkorb; Korb
Kellertreppe; Treppe
Kellnertasche; Tasche
Kennzeichen; Zeichen
Kerzenständer; Ständer
Kiefernwald; Wald
Kinderbuch; Buch
Kinderspiel; Spiel
Kinoleinwand; Leinwand
Kirchenchor; Chor
Kirchenglocke; Glocke
Kirschbaum; Baum
Kirschsaft; Saft
Klangfarbe; Farbe
Klassenzimmer; Zimmer
Klettergurt; Gurt
Klosterkirche; Kirche
Klostermauer; Mauer
Kneipentour; Tour
Knopfleiste; Leiste
Kochtopf; Topf
Kohlekeller; Keller
Kommandobrücke; Brücke
Korbsessel; Sessel
Kraftfahrer; Fahrer
Kräuterbeet; Beet
Kräutersuppe; Suppe
Kreidefarbe; Farbe
Kreidefelsen; Felsen
Kriegsschiff; Schiff
Kriminalfilm; Film
Kristallkugel; Kugel
Kuckucksuhr; Uhr
Kugellager; Lager
Kulturerbe; Erbe
Kümmeltee; Tee
Kürbissuppe; Suppe
Kuscheldecke; Decke
Kanalrohr; Rohr
Kanzleigebäude; Gebäude
Karaokesänger; Sänger
Kartenspiel; Spiel
Kasernenhof; Hof
Käseplatte; Platte
Katzenfutter; Futter
Kellerfenster; Fenster
Kennwort; Wort
Kernkraftwerk; Kraftwerk
Keramikschale; Schale
Kiefernholz; Holz
Kinderwagen; Wagen
Kinoleinwand; Leinwand
Kirchenfenster; Fenster
Klangeffekt; Effekt
Klettergarten; Garten
Klostergebäude; Gebäude
Knopfform; Form
Kochtopf; Topf
Kohleabbau; Abbau
Kompassnadel; Nadel
Konferenzraum; Raum
Kopfhörer; Hörer
Kraftpaket; Paket
Kreidezeichnung; Zeichnung
Kriminalroman; Roman
Kristallbecher; Becher
Kronkorken; Korken
Kulturprogramm; Programm

Landkarte; Karte
Lebensart; Art
Liebeslied; Lied
Lampenschirm; Schirm
Löffelstiel; Stiel
Laufband; Band
Lehrbuch; Buch
Lebensmittel; Mittel
Lederhandschuh; Handschuh
Leuchtkraft; Kraft
Luftballon; Ballon
Landwirt; Wirt
Lauschangriff; Angriff
Lichtblick; Blick
Liebesbrief; Brief
Lagerfeuer; Feuer
Landstraße; Straße
Lebenslauf; Lauf
Liebesgabe; Gabe
Lernprozess; Prozess
Lagerhaus; Haus
Leselust; Lust
Laternenpfahl; Pfahl
Lebensraum; Raum
Luftpost; Post
Leinwandbild; Bild
Lehrkraft; Kraft
Ländergrenze; Grenze
Liegestuhl; Stuhl
Lastwaage; Waage
Lernziel; Ziel
Landeplatz; Platz
Lebenszeichen; Zeichen
Luftschiff; Schiff
Lausbube; Bube
Lehrplan; Plan
Ledersofa; Sofa
Liebeserklärung; Erklärung
Lebensmüde; Müde
Lichtstrahl; Strahl
Landzunge; Zunge
Lehrstuhl; Stuhl
Lagerplatz; Platz
Leselampe; Lampe
Lebensmission; Mission
Lebenswerk; Werk
Ladendieb; Dieb
Lebenslinie; Linie
Liebesfilm; Film
Lämmerherde; Herde
Lehrjahr; Jahr
Lebensmut; Mut
Leinwand; Wand
Laufsteg; Steg
Lagerkoller; Koller
Liebesgruß; Gruß
Landenge; Enge
